Sr. No.,Division,District,Institute Code,Year,Course,Institute Name,Capacity,Enrolled
767,Konkan,Raigarh,6,2019-20,ANM,"GENERAL HOSPITAL,  ALIBAG",20,20
768,Konkan,Ratnagiri,7,2019-20,ANM,"GENERAL HOSPITAL, RATNAGIRI",20,20
769,Nashik,Nashik,8,2019-20,ANM,"GENERAL HOSPITAL, NASIK",20,18
770,Nashik,Dhule,9,2019-20,ANM,"GENERAL HOSPITAL,  DHULE",20,19
771,Nashik,Jalgaon,10,2019-20,ANM,"GENERAL HOSPITAL,  JALGAON",20,20
772,Nashik,Nashik,12,2019-20,ANM,GANPATRAO ADKE INE.  NASIK,20,7
773,Nashik,Nashik,13,2019-20,ANM,"NASIK MEDICO TRAINING COLLEGE OF NURSING, NASIK",40,16
774,Konkan,Ratnagiri,14,2019-20,ANM,"RAMRAJE SCH. NSG, RCON DAPOLI, RATNAGIRI",20,18
775,Konkan,Raigarh,16,2019-20,ANM,"NOOTAN SCHOOL OF NURSING, RAIGAD",30,14
776,Nashik,Nashik,17,2019-20,ANM,"RACHANA SCHOOL OF NURSING, NASHIK",40,39
777,Nashik,Nashik,18,2019-20,ANM,"S.N.D. SCHOOL OF NURSING, JES, YEOLA,  NASIK",30,30
778,Nashik,Nandurbar,19,2019-20,ANM,"K.D. GAVIT NURSING SCHOOL, PATHRAI , NANDURBAR",20,18
779,Nashik,Dhule,22,2019-20,ANM,RAJANI SMRUTI NSG SCH. DONDAICHA SHINDKHEDA DHULE,30,19
780,Konkan,Raigarh,23,2019-20,ANM,"LIFE LINE HOSPITAL, PANVEL",20,17
781,Konkan,Raigarh,26,2019-20,ANM,"KALAVATI INSTITUTE OF NURSING EDUCATION,  AIROLI NAVI MUMBAI",40,15
782,Nashik,Jalgaon,27,2019-20,ANM,"BHAGINI MANDAL SCHOOL OF NURSING, CHOPDA , JALGAON",25,25
783,Konkan,Ratnagiri,29,2019-20,ANM,"PARKAR MEDICAL FOUNDATION SCHOOL OF NURSING, RATNAGIRI",20,19
784,Nashik,Nashik,30,2019-20,ANM,"KARUNA SCHOOL OF NURSING, MANMAD, NASHIK",30,30
785,Nashik,Jalgaon,31,2019-20,ANM,"KHANDESH NURISNG INSTITUTE, CHALISGAON, JALGAON",20,12
786,Nashik,Nashik,33,2019-20,ANM,"NAMCO SCHOOL OF NURSING, NASIK",30,30
787,Konkan,Sindhudurg,35,2019-20,ANM,"SHREE ANANT SMRUTI SCHOOL OF NURSING, KASAL",20,6
788,Konkan,Sindhudurg,36,2019-20,ANM,"IDEAL NURSING SCHOOL, KANKAVALI, SINDHUDURG",20,19
789,Nashik,Nashik,37,2019-20,ANM,"VISHWASATTAYA SCHOOL OF NURSING, OZAR",30,10
790,Nashik,Nashik,38,2019-20,ANM,"NASHIK NURSING SCHOOL, NASHIK",20,20
791,Nashik,Ahilyanagar,39,2019-20,ANM,"GENERAL HOSPITAL,AHMEDNAGAR",20,20
792,Pune,Satara,40,2019-20,ANM,"GENERAL HOSPITAL, SATARA",20,19
793,Pune,Kolhapur,41,2019-20,ANM,"C.P.R. GENERAL HOSPITAL, KOLHAPUR",20,20
794,Pune,Solapur,42,2019-20,ANM,"DHANRAJGIRIJI HOSPITAL,  SOLAPUR",20,11
795,Pune,Pune,45,2019-20,ANM,"SETH TARACHAND R.C.A. SCH. OF NSG HOSPITAL, PUNE",20,14
796,Pune,Pune,46,2019-20,ANM,"Maharashtra Arogya Mandal's Institute of Nursing Education,Malwadi,Hadapsar,Pune",40,37
797,Pune,Pune,47,2019-20,ANM,"JANASEVA FOUNDATION SCH. OF NSG, PUNE",30,28
798,Nashik,Ahilyanagar,48,2019-20,ANM,"F.J.F.M. HOSPITAL SCH OF NSG, NEWASA, DISTAHMEDNAGAR",30,13
799,Nashik,Ahilyanagar,51,2019-20,ANM,KRANTI SCHOOL OF NURSING  AHMEDNAGAR,20,16
800,Pune,Kolhapur,53,2019-20,ANM,"DR. J. J. MAGDUM SON, SHIROL, KOLHAPUR",20,18
801,Pune,Solapur,56,2019-20,ANM,"BHAKTI MEDICAL FOUNDATION SCHOOL OF NURSING, SOLAPUR, PANDHARPUR",20,19
802,Pune,Sangli,57,2019-20,ANM,"SAHAKARMAHARSHI VISHNUANNA PATIL NURSING SCHOOL, SANGLI",20,9
803,Pune,Sangli,58,2019-20,ANM,"DESAI CHARITABLE TRUST TAL. MIRAJ, SANGLI",30,30
804,Pune,Kolhapur,59,2019-20,ANM,"WESTERN MAHARASHTRA SCHOOL OF NURSING, TILWANI, KOLHAPUR",20,19
805,Pune,Sangli,60,2019-20,ANM,"ABHINAV SCHOOL OF NURSING ASHTA, WALWA, SANGLI",30,30
806,Pune,Pune,62,2019-20,ANM,"Sevadham Trust A.S.M.T. SON, MAVAL, PUNE,",20,10
807,Pune,Solapur,64,2019-20,ANM,"SHIVAJI SHIKSHAN PRASARAK MANDALS, SON, BARSHI, SOLAPUR",30,28
808,Pune,Pune,65,2019-20,ANM,"ANAND MEDICAL FOUNDATION, SON, KURULI, KHED, PUNE",20,20
809,Pune,Sangli,66,2019-20,ANM,"KAMAL INSTITUTE OF NURSING EDUCATION, JATH, SANGLI",20,10
810,Nashik,Ahilyanagar,67,2019-20,ANM,"VIJAY GANGA RURAL, MED  RES FOUNDATION, SON, AHMEDNAGAR",20,20
811,Pune,Pune,68,2019-20,ANM,"SANT DNYANESHWAR MED EDU'S,SCHOOL OF NURSING, PUNE",20,14
812,Pune,Sangli,70,2019-20,ANM,"HON.R.R.PATIL INSTITUTE OF NSG EDUCATION,SANGLI",30,26
813,Pune,Sangli,71,2019-20,ANM,"KRANTIAGRANI G.D.BAPU LAD SCH OF NS, SANGLI",20,20
814,Pune,Sangli,72,2019-20,ANM,"UMA INST. OF NURSING EDUCATION, SANGLI",20,13
815,Nashik,Ahilyanagar,73,2019-20,ANM,"SEVA NURSING SCHOOL, AHMEDNAGAR",35,35
816,Pune,Kolhapur,74,2019-20,ANM,"KEDARI REDEKAR  NURSING SCHOOL, GADHINGLAJ, KOLHAPUR",30,21
817,Pune,Solapur,75,2019-20,ANM,"SHRI MARKANDEY SOLAPUR SAHAKARI RUGNALAYA, SOLAPUR",20,0
818,Pune,Pune,76,2019-20,ANM,"MEERA  NURSING SCHOOL, SASWAD, PUNE",30,24
819,Nashik,Ahilyanagar,77,2019-20,ANM,"INDIRA GANDHI NSG, COLLEGE, PARNER, AHMEDNAGAR",20,14
820,Pune,Kolhapur,78,2019-20,ANM,"Sant Gajanan Maharaj School of Nursing, Tal - Gadhinglaj, Kolhapur",20,15
821,Pune,Sangli,82,2019-20,ANM,"KULLOLLI CH.TRUST'S, SCHOOL OF NURSING, MIRAJ, SANGLI",30,30
822,Pune,Kolhapur,83,2019-20,ANM,"MAHALAXMI NURSING INSTITUTE, KOLHAPUR",20,20
823,Pune,Satara,84,2019-20,ANM,"SMT. INDUMATI RAMCHANDRA DESHMUKH SCHOOL OF NURSING, KHATAV, SATARA",20,20
824,Pune,Kolhapur,89,2019-20,ANM,"Y.D. MANE SCHOOL OF NURSING, KAGAL, KOLHAPUR",30,28
825,Pune,Satara,90,2019-20,ANM,"PHALTAN EDUCATION SOCIETY, SCHOOL OF NURSING, PHALTAN ,SATARA",20,19
826,Pune,Satara,91,2019-20,ANM,"KANISHKA CHARITABLE TRUST'S, SCHOOL OF NURSING ,SATARA",20,14
827,Pune,Kolhapur,92,2019-20,ANM,"ADHAAR NURSING SCHOOL, AJRA KOLHAPUR",20,20
828,Pune,Kolhapur,93,2019-20,ANM,"KAI. BALWANTRAO HANUMANTRAO PATIL SHIKSHAN PRASARAK MANDAL, KARVIR, KOLHAPUR",20,20
829,Nashik,Ahilyanagar,94,2019-20,ANM,"PRAVARA MEDICAL TRUST,SON, SHEVGAON, AHMEDNAGAR",40,37
830,Pune,Kolhapur,96,2019-20,ANM,"SARASWATI GAIKWAD NURSING SCHOOL , KOTOLI, PANHALA, KOLHAPUR",20,19
831,Nashik,Ahilyanagar,98,2019-20,ANM,"NITYASEVA HOSPITAL NURSING SCHOOL, SHEVGAON, AHMEDNAGAR",30,29
832,Nagpur,Wardha,101,2019-20,ANM,"FLORENCE NIGHTINGALE TRAINING COLLEGE OF NURSING,WARDHA.",60,60
833,Nagpur,Nagpur,103,2019-20,ANM,"MAHAL MATERNITY HOM, SON, NAGPUR",15,13
834,Nagpur,Wardha,105,2019-20,ANM,"GENERAL HOSPITAL, WARDHA",20,19
835,Nagpur,Nagpur,106,2019-20,ANM,"DAGA MEMORIAL HOSPITAL, NAGPUR",20,20
836,Amravati,Amravati,107,2019-20,ANM,"DIST.HOSPITAL FOR WOMEN , AMRAVATI",20,18
837,Amravati,Akola,108,2019-20,ANM,"DIST.HOSPITAL FOR WOMEN, AKOLA",20,20
838,Nagpur,Chandrapur,109,2019-20,ANM,"GENERAL HOSPITAL,CHANDRAPUR",20,20
839,Amravati,Yavatmal,110,2019-20,ANM,"GENERAL HOSPITAL ,YAVATMAL",30,20
840,Amravati,Buldana,111,2019-20,ANM,"GENERAL HOSPITAL, BULDANA",20,20
841,Nagpur,Bhandara,112,2019-20,ANM,"GENERAL HOSPITAL, BHANDARA",20,20
842,Nagpur,Gadchiroli,113,2019-20,ANM,GENERAL HOSPITAL  GADCHIROLI,20,20
843,Nagpur,Nagpur,114,2019-20,ANM,"SWAMI VIVEKANAND MED MISSION, PARSODI, SON, KHAPRI , NAGPUR",20,17
844,Amravati,Yavatmal,115,2019-20,ANM,"HELEN ROSE SCHOOL OF NURSING UMRI, YAVATMAL",20,20
845,Amravati,Amravati,116,2019-20,ANM,"MAA GAYATRI SCHOOL OF NURSING, ACHALPUR, AMRAVATI",20,14
846,Nagpur,Wardha,117,2019-20,ANM,"BHARTIYA MAHILA VIKAS NURSING SCHOOL, RAMNAGAR, WARDHA",30,18
847,Amravati,Akola,118,2019-20,ANM,"INSTITUTE OF NURSING EDUCATION & RESEARCH, AKOLA",30,30
848,Amravati,Yavatmal,119,2019-20,ANM,"SUMITRABAI THAKARE TRAINING COLLEGE OF NURSING, YAVATMAL",30,29
849,Nagpur,Nagpur,120,2019-20,ANM,"DR.DALVI MEMORIAL HOSPITAL, SON, NAGPUR",40,11
850,Nagpur,Nagpur,121,2019-20,ANM,"RIGHT VALUE INSTITUTE OF NURSING, NAGPUR",20,19
851,Amravati,Akola,122,2019-20,ANM,"NATIONAL SCHOOL OF NURSING , AKOLA",30,20
852,Nagpur,Nagpur,123,2019-20,ANM,"TIRPUDE NURSING TRAINING SCHOOL, NAGPUR",40,40
853,Amravati,Washim,124,2019-20,ANM,"MAA GANGA NURSING SCHOOL, WASHIM",20,20
854,Amravati,Yavatmal,125,2019-20,ANM,"PADOLE NURSING SCHOOL, YAVATMAL",20,20
855,Konkan,Raigarh,129,2019-20,ANM,"ANURADHA NURSING SCHOOL , CHIKHALI",30,27
856,Nagpur,Chandrapur,130,2019-20,ANM,"KALYAN INSTITUTE OF NURSING EDUCATION, RAJURA, CHANDRAPUR",20,20
857,Nagpur,Chandrapur,131,2019-20,ANM,"PRABHADEVI SCHOOL OF NURSING, CHANDRAPUR",40,40
858,Amravati,Yavatmal,134,2019-20,ANM,"TULSHIRAMJI SHEBE SCHOOL OF NURSING, PUSAD, YAVATMAL",30,30
859,Amravati,Yavatmal,136,2019-20,ANM,"MUNGASAJI MAHARAJ NURSING SCHOOL, YAVATMAL",60,60
860,Amravati,Yavatmal,137,2019-20,ANM,"MUNGASAJI MAHARAJ NURSING SCHOOL, DHARWA, YAVATMAL",20,20
861,Amravati,Yavatmal,138,2019-20,ANM,DR. ARCHANATAI GADE PATIL SCHOOL OF NURSING LOHARA YAVATMAL,25,25
862,Nagpur,Wardha,139,2019-20,ANM,"SHRI RADHASWAMI  NURSING SCHOOL, WARDHA",13,13
863,Nagpur,Wardha,140,2019-20,ANM,"JANATA NURSING SCHOOL, HINGANGHAT, WARDHA",20,12
864,Nagpur,Nagpur,141,2019-20,ANM,"KALYANI NURSING SCHOOL, NAGPUR",20,16
865,Nagpur,Nagpur,142,2019-20,ANM,"RENUKA NURSING SCHOOL, HINGANA, NAGPUR",20,9
866,Amravati,Amravati,144,2019-20,ANM,"SUJATA SCHOOL OF NURSING, AMRAVATI",30,21
867,Amravati,Amravati,146,2019-20,ANM,DR. PANJABRAO DESHMUKH INST. OF NSG. AMRAVATI,30,30
868,Amravati,Akola,148,2019-20,ANM,"DR VANDANTAI DHONE NURSING SCHOOL, AKOLA",30,30
869,Nagpur,Wardha,149,2019-20,ANM,"SHALOM SCHOOL OF NURSING, WARDHA",40,40
870,Nagpur,Wardha,151,2019-20,ANM,"KASABAI SCHOOL OF NURSING, SEVAGRAM,WARDHA",20,10
871,Amravati,Buldana,152,2019-20,ANM,"INDIRA BAHU. SHIKSHAN SANSTHS, SCHOOL OF NURSING, SAGWAN, BULDHANA",20,20
872,Amravati,Buldana,153,2019-20,ANM,"INDIRA BAHU SHIKSHAN SANSTHS, SCHOOL OF NURSING,BELAD MALKAPUR",20,20
873,Nagpur,Bhandara,155,2019-20,ANM,"SHARDA NURSING SCHOOL, KHAPA TUMSAR, BHANDARA",20,20
874,Chh. Sambhaji Nagar,Nanded,158,2019-20,ANM,"SHRI GURU GOVINDSINGHJI MEMORIAL HOSPITAL, SON, NANDED",20,20
875,Chh. Sambhaji Nagar,Nanded,159,2019-20,ANM,"SMT. PRAMILATAI BHALERAO SCHOOL OF NURSING, Nanded",30,30
876,Chh. Sambhaji Nagar,Dharashiv,161,2019-20,ANM,"GENERAL HOSPITAL, SON, OSMANABAD",20,20
877,Chh. Sambhaji Nagar,Chh. Sambhaji Nagar,168,2019-20,ANM,"SHRI DHANESHWARI MANAV VIKAS MANDAL,  AURANGABAD",20,20
878,Chh. Sambhaji Nagar,Jalna,169,2019-20,ANM,"SHRI SAI  INSTITUE OF NURSING, JALNA",20,10
879,Chh. Sambhaji Nagar,Parbhani,170,2019-20,ANM,"MAULI INSTITUTE OF NURSING, PARBHANI",20,12
880,Chh. Sambhaji Nagar,Latur,174,2019-20,ANM,"INDIRA GANDHI NURSING SCHOOL, LATUR",30,28
881,Konkan,Thane,201,2019-20,ANM,"INSTITUTE  OF  NURSING  EDUCATION , DOMBIVALI",20,13
882,Nashik,Nashik,206,2019-20,ANM,"SAHYADRI SEVA SANSTHA , INSTITUTE OF NURSING , NASIK",20,15
883,Pune,Pune,221,2019-20,ANM,"BAKUL TAMBAT INSTITUTE OF NURSING EDUCATION, PUNE",30,23
884,Pune,Pune,226,2019-20,ANM,"DWARIKA SANGAMNER INSTITUTE OF NURSING EDUCATION, PUNE",20,20
885,Pune,Sangli,228,2019-20,ANM,"LOKNETE RAJARAMBAPU PATIL , TRG. COLL. OF NURSING , ISLAMPUR, WALWA, SANGLI",20,18
886,Pune,Sangli,230,2019-20,ANM,"KASEGAON EDUCATION SOCIETY, SCHOOL OF NURSING, ISLAMPUR, SANGLI",20,20
887,Pune,Pune,231,2019-20,ANM,"C Y DANGAT PATIL SHIKSHAN AND KRIDA MANDAL, SCHOOL OF NURSING , PUNE",20,19
888,Pune,Pune,232,2019-20,ANM,"GIRIRAJ SCHOOL OF NURSING , BARAMATI",30,30
889,Pune,Satara,233,2019-20,ANM,"LATE NARAYANDAS BHAWANGDAS CHHABADA TRAINING COLLEGE OF NURSING, SATARA",20,20
890,Pune,Solapur,241,2019-20,ANM,"SAHARA INSTITUTE OF NURSING EDUCATION, AKLUJ , SOLAPUR",20,19
891,Nagpur,Nagpur,251,2019-20,ANM,"SURETECH COLLEGE OF NURSING, NAGPUR",30,25
892,Nagpur,Gadchiroli,253,2019-20,ANM,"DR. SALVE NURSING INSTITUTE  COLLEGE , GADCHIROLI",30,19
893,Amravati,Yavatmal,256,2019-20,ANM,"PRUTHVIRAJ DESHMUKH NURSING INSTITUTE, LOHARA, YAVATMAL",20,20
894,Chh. Sambhaji Nagar,Chh. Sambhaji Nagar,259,2019-20,ANM,"MAHATMA GANDHI MISSION INSTITUTE OF NURSING EDUCATION, AURANGABAD",20,16
895,Chh. Sambhaji Nagar,Latur,262,2019-20,ANM,"GENERAL HOSPITAL, LATUR",20,20
896,Nagpur,Nagpur,266,2019-20,ANM,"ARNEJA INSTITUTE OF NURSING SCIENCES , NAGPUR",20,15
897,Nagpur,Nagpur,267,2019-20,ANM,"ASHARAM SCHOOL OF NURSING , NAGPUR",20,20
898,Pune,Satara,270,2019-20,ANM,"SHAKUNTALA  INSTITUTE OF NURSING EDUCATION , SATARA",20,13
899,Chh. Sambhaji Nagar,Dharashiv,271,2019-20,ANM,"INDIRA GANDHI NURSING SCHOOL, OSMANABAD",20,20
900,Pune,Kolhapur,272,2019-20,ANM,"SAU. JEBELINA NURSING SCHOOL, GARGOTI, KOLHAPUR",20,20
901,Chh. Sambhaji Nagar,Nanded,273,2019-20,ANM,"INDIRA GANDHI NURSING SCHOOL, MUKHED, NANDED",20,20
902,Amravati,Amravati,274,2019-20,ANM,"UTTAMRAO UMAK MEMORIAL NURSING SCHOOL,  ANJANGAON, AMRAVATI",20,20
903,Amravati,Amravati,275,2019-20,ANM,"KAMLABAI UMAK NURSING SCHOOL, AMRAVATI",20,20
904,Amravati,Amravati,276,2019-20,ANM,"LAXMANRAO UMAK MEMORIAL NURSING SCHOOL, BADNERA, AMRAVATI",20,20
905,Nashik,Ahilyanagar,278,2019-20,ANM,"PARVATIBAI MHASKE INSTITUTE OF NURSING, AHMEDNAGAR",20,19
906,Chh. Sambhaji Nagar,Nanded,279,2019-20,ANM,"LOTUS NURSING INSTITUTE, NANDED",20,20
907,Nagpur,Nagpur,280,2019-20,ANM,"MATRU SEVA SANGH NURSING SCHOOL,SITABULDI ,MATERNITY HOME NAGPUR",40,20
908,Konkan,Ratnagiri,281,2019-20,ANM,"SAMARTH INSTITUTE OF NURSING EDUCATION, DERVAN",20,20
909,Nashik,Ahilyanagar,282,2019-20,ANM,"MAHARASHTRA HOMOEOPATHIC FOUNDATION'S SCHOOL OF NURSING , PATHAR ,  AHMEDNAGAR",20,19
910,Chh. Sambhaji Nagar,Jalna,283,2019-20,ANM,"VASANTRAO NAIK SHIKSHAN PRASARAK MANDAL, JALNA",20,8
911,Pune,Sangli,284,2019-20,ANM,"ADARSH NURSING SCHOOL, VITA, SANGLI",20,13
912,Chh. Sambhaji Nagar,Chh. Sambhaji Nagar,286,2019-20,ANM,"MATA GIRIJA SCHOOL OF NURSING, AURANGABAD.",20,20
913,Pune,Kolhapur,287,2019-20,ANM,"KURUNDWAD INST. OF NURSING EDUCATION,SHIROL, KOLHAPUR",20,20
914,Amravati,Akola,289,2019-20,ANM,"RADHIKA NURSING SCHOOL, AKOLA",20,20
915,Chh. Sambhaji Nagar,Parbhani,290,2019-20,ANM,"MATOSHRI NURSING SCHOOL, PARBHANI",20,20
916,Pune,Sangli,294,2019-20,ANM,"HUTATMA INSTITUTE OF NURSING , WALWA , SANGLI",20,17
917,Pune,Solapur,296,2019-20,ANM,"BINIT NURSING INSTITUTE , SOLAPUR",20,11
918,Nashik,Dhule,297,2019-20,ANM,"NANDA AAI BAHU. NURSING TRAINING CENTRE, DEOPUR, DHULE",20,6
919,Amravati,Akola,299,2019-20,ANM,"ANGLE OF MERCY INSTITUTE OF NURSING SCIENCE, AKOLA",20,13
920,Pune,Pune,301,2019-20,ANM,"PUKHRAJ NAGRAJ RANKA SCHOOL OF NURSING , PUNE",20,11
921,Pune,Satara,303,2019-20,ANM,"APARNA INST. OF NURSING EDUCATION , KARAD",20,0
922,Chh. Sambhaji Nagar,Nanded,304,2019-20,ANM,"DR. G. A. GAIKWAD INSTITUTE OF NURSING, DEGLOOR, NANDED",20,20
923,Pune,Kolhapur,305,2019-20,ANM,"CREATIVE NURSING SCHOOL , GADHINGLAJ , KOLHAPUR",20,20
924,Pune,Satara,306,2019-20,ANM,"SANJEEVAN MEDICAL COLLEGE OF NURSING , SATARA",30,30
925,Nashik,Ahilyanagar,307,2019-20,ANM,"WAMANRAO ITHAPE NURSING COLLEGE, SANGAMNER, AHMEDNAGAR",30,22
926,Chh. Sambhaji Nagar,Beed,308,2019-20,ANM,"YASHWANT NURSING SCHOOL, ASHTI, BEED",20,20
927,Nashik,Nashik,309,2019-20,ANM,"SHREE SWAMI NARAYAN  NURSING INSTITUE, NASIK",30,29
928,Chh. Sambhaji Nagar,Beed,310,2019-20,ANM,"S.S.P.M. NURSING COLLEGE, ASHTI, BEED",20,19
929,Chh. Sambhaji Nagar,Chh. Sambhaji Nagar,311,2019-20,ANM,"SAKOLKAR NURSING SCHOOL, AURANGABAD",20,10
930,Pune,Pune,312,2019-20,ANM,"GENERAL HOSPITAL, AUNDH, PUNE",20,18
931,Chh. Sambhaji Nagar,Beed,313,2019-20,ANM,"DR. T. M. DHONDE SCHOOL OF NURSING, ASHTI , BEED",30,30
932,Chh. Sambhaji Nagar,Beed,314,2019-20,ANM,"NEW NURSING SCHOOL, BEED",20,13
933,Chh. Sambhaji Nagar,Dharashiv,316,2019-20,ANM,"JEEVAN JYOT AROGYA SHIKSHAN SANSTHA, SCHOOL OF NURSING, OSMANABAD",20,15
934,Pune,Pune,317,2019-20,ANM,"TEJASWINI NURSING SCHOOL, JUNNAR, PUNE",20,20
935,Pune,Pune,318,2019-20,ANM,"SHARDABAI PAWAR INSTITUTE OF NURSING, PUNE",40,39
936,Nashik,Jalgaon,323,2019-20,ANM,"GODAVARI COLLEGE OF  NURSING , JALGAON",30,20
937,Nashik,Nashik,325,2019-20,ANM,"MATOSHRI SCHOOL OF A.N.M. NURSING , EKLAHARE, NASIK",20,20
938,Amravati,Amravati,326,2019-20,ANM,"BHAKTI VEDANT SCHOOL OF NURSING, AMRAVATI",20,20
939,Amravati,Washim,327,2019-20,ANM,"MANSI COLLEGE OF NURSING , WASHIM",20,20
940,Nagpur,Wardha,328,2019-20,ANM,"EKVIRA DEVI EDUCATION SOCIETY, SCHOOL OF NURSING, WARDHA",20,15
941,Nagpur,Nagpur,329,2019-20,ANM,"MOTHER TERESA NURSING INSTITUTE , NAGPUR",20,20
942,Nashik,Nashik,330,2019-20,ANM,"MATOSHRI SCHOOL OF A.N.M. NURSING , BABULGAON , NASIK",20,20
943,Nagpur,Wardha,331,2019-20,ANM,SARASWATI NURSING SCHOOL GUNJKHEDA WARDHA,20,20
944,Chh. Sambhaji Nagar,Chh. Sambhaji Nagar,332,2019-20,ANM,"RAMKRISHANA NURSING SCHOOL, SILLOD, AURANGABAD",20,15
945,Amravati,Amravati,333,2019-20,ANM,"FLORENCE NIGHTINGLE NURSING SCHOOL, AMRAVATI",30,30
946,Amravati,Amravati,334,2019-20,ANM,"EKVIRA SCHOOL OF NURSING , DARYAPUR , AMRAVATI",20,20
947,Chh. Sambhaji Nagar,Latur,335,2019-20,ANM,"G.B .PATIL SCHOOL OF NURSING, UDGIR, LATUR",20,20
948,Chh. Sambhaji Nagar,Latur,336,2019-20,ANM,"SHRI BHAGWAN NURSING SCHOOL, LATUR",20,11
949,Amravati,Amravati,341,2019-20,ANM,"M.J. PAWADE NURSING SCHOOL, WARUD,  AMRAVATI",20,20
950,Nashik,Ahilyanagar,342,2019-20,ANM,"SAI NURSING INSTITUTE , RAHATA, AHMEDNAGAR",20,14
951,Nagpur,Nagpur,343,2019-20,ANM,"MADHUKARRAO MAHAKALKAR NURSING SCHOOL , DIGHORI , NAGPUR",30,21
952,Chh. Sambhaji Nagar,Chh. Sambhaji Nagar,345,2019-20,ANM,"SWATANTRA SENANI UTTAMRAOJI PATIL NURSING SCHOOL, AURANGABAD",20,0
953,Chh. Sambhaji Nagar,Dharashiv,349,2019-20,ANM,"HALO NURSING SCHOOL, ANADUR, TULJAPUR",20,11
954,Amravati,Buldana,350,2019-20,ANM,"RAJSHREE SCHOOL OF NURSING, MEHKAR, BULDANA",20,20
955,Konkan,Ratnagiri,352,2019-20,ANM,M.E.S SCHOOL OF NURSING KHED RATNAGIRI,30,22
956,Chh. Sambhaji Nagar,Latur,353,2019-20,ANM,"YASHWANT NURSING TRAINING SCHOOL, AHMADPUR, LATUR",20,20
957,Pune,Kolhapur,355,2019-20,ANM,"SAHAKAR MAHARSHI TATYASHEB KORE NURSING SCHOOL , HATKANGALE, KOLHAPUR",20,18
958,Chh. Sambhaji Nagar,Latur,356,2019-20,ANM,"NAVJEEVAN CHARITABLE TRUST, LATUR",20,15
959,Amravati,Buldana,359,2019-20,ANM,"HARSH SCHOOL OF NURSING, KHAMGAON, BULDANA",20,20
960,Nagpur,Gadchiroli,360,2019-20,ANM,"NAVJEEVAN NURSING SCHOOL, CHAMORSHI, GADCHIROLI",20,20
961,Konkan,Sindhudurg,362,2019-20,ANM,"BR. NATH PAI INSTITUTE OF NURSING, PINGULI, SINDHUDURGA",40,13
962,Chh. Sambhaji Nagar,Latur,363,2019-20,ANM,"BHIVRAI NURSING SCHOOL, LATUR",20,18
963,Chh. Sambhaji Nagar,Latur,364,2019-20,ANM,"BALVIKAS MAHILA MANDAL, SCHOOL OF NURSING, LATUR",20,20
964,Chh. Sambhaji Nagar,Parbhani,365,2019-20,ANM,"BHARATRATNA MOTHER TERSA NURSING SCHOOL, SELU, PARBHANI",20,20
965,Chh. Sambhaji Nagar,Dharashiv,366,2019-20,ANM,"SAI NURSING SCHOOL, OSMANABAD",20,0
966,Chh. Sambhaji Nagar,Parbhani,367,2019-20,ANM,"INSTITUTE OF NURSING EDUCATION,MANWATH, PARBHANI",20,20
967,Nashik,Jalgaon,368,2019-20,ANM,"DADASAHEB DR. SURESH G. PATIL COLLEGE OF NURSING , CHOPDA , JALGAON",20,20
968,Nashik,Ahilyanagar,370,2019-20,ANM,"BAHUJAN SAMAJ PRABODHAN SCHOOL OF NURSING, AKOLE, AHMEDNAGAR",20,2
969,Chh. Sambhaji Nagar,Latur,371,2019-20,ANM,"LATE MAHALINGE SWAMI NURSING SCHOOL, LATUR",20,20
970,Amravati,Amravati,372,2019-20,ANM,"SMT. VASUNDHARABAI GHUIKHEDKAR NURSING SCHOOL, AMRAVATI",30,29
971,Nagpur,Wardha,373,2019-20,ANM,"PARVATIBAI SCHOOL OF NURSING, WARDHA",30,25
972,Chh. Sambhaji Nagar,Parbhani,374,2019-20,ANM,"TIRUPATI NURSING SCHOOL,PARBHANI",40,40
973,Amravati,Yavatmal,377,2019-20,ANM,"SHRI SWAMI SAMARTH NURSING SCHOOL, YAVATMAL",20,20
974,Nagpur,Bhandara,378,2019-20,ANM,"POOJA NURSING INSTITUTE , BHANDARA",20,20
975,Amravati,Amravati,381,2019-20,ANM,"MELGHAT NURSING SCHOOL , PARATWADA , AMRAVATI",20,11
976,Chh. Sambhaji Nagar,Latur,383,2019-20,ANM,"RASTRAMATA JIJAU NURSING SCHOOL, NILANGA, LATUR",20,20
977,Chh. Sambhaji Nagar,Beed,385,2019-20,ANM,"RAGHUNATHRAO MUNDHE INSTITUTE OF NURSING, AMBEJOGAI, BEED",20,16
978,Pune,Satara,386,2019-20,ANM,"SHIVRASHTRA COLLEGE OF NURSING , KARAD , SATARA",20,20
979,Pune,Pune,393,2019-20,ANM,"JAY INSTITUTE OF NURSING , INDAPUR , PUNE",20,20
980,Chh. Sambhaji Nagar,Latur,394,2019-20,ANM,"TIRMULLA  A.N.M. NURSING SCHOOL, JALKOT, LATUR",20,20
981,Pune,Solapur,395,2019-20,ANM,"RAJMATA JIJAU NURSING SCHOOL, PANDHARPUR",20,20
982,Konkan,Sindhudurg,400,2019-20,ANM,"GENERAL HOSPITAL,  SINDHUDURG",20,20
983,Chh. Sambhaji Nagar,Beed,401,2019-20,ANM,"VAIDYANATH NURSING SCHOOL, ,PARALI-VAIJNATH, BEED",40,24
