Sr. No.,Division,District,Institute Code,Year,Course,Institute Name,Capacity,Enrolled
6290,Nashik,Dhule,586,2024-25,GNM,"D.S. NURSING SCHOOL, SAKRI, DHULE",60,60
6291,Nashik,Dhule,852,2024-25,GNM,"SAROJINI SCHOOL OF NURSING, DHULE",30,28
6292,Nagpur,Gadchiroli,1152,2024-25,GNM,"Savitribai Fule G.N.M Nursing School,Gadchiroli",60,60
6293,Nagpur,Gadchiroli,1210,2024-25,GNM,"SHRI. SAI INSTITUTE OF NURSING AND MEDICAL SCIENCE, GADCHIROLI",60,60
6294,Nagpur,Gadchiroli,1290,2024-25,GNM,"RAJIV GANDHI COLLEGE OF NURSING, DESAIGANJ, GADCHIROLI",40,24
6295,Nagpur,Gadchiroli,1483,2024-25,GNM,"SNEHADHARMA COLLEGE OF NURSING, AHERI, GADCHIROLI",40,15
6296,Nagpur,Gadchiroli,1545,2024-25,GNM,"SUVIDHA NURSING SCHOOL, SONAPUR, GADCHIROLI",40,39
6297,Nagpur,Gadchiroli,253,2024-25,GNM,"DR. SALVE NURSING INSTITUTE COLLEGE , GADCHIROLI",60,50
6298,Nagpur,Gadchiroli,360,2024-25,GNM,"NAVJEEVAN NURSING SCHOOL, CHAMORSHI, GADCHIROLI",40,40
6299,Nagpur,Gadchiroli,672,2024-25,GNM,"SHRI SAI SCHOOL OF NURSING, ARMORI, GADCHIROLI",40,35
6300,Nagpur,Gondia,1165,2024-25,GNM,"ACQUARIOUS SCHOOL OF NURSING,KUDWA GONDIA",60,51
6301,Nagpur,Gondia,1237,2024-25,GNM,"Central Institute of Education Gorkheda, Gondia",60,60
6302,Nagpur,Gondia,1274,2024-25,GNM,"SHRI. DATTA G.N.M. NURSING SCHOOL, TIRODA, GONDIA",40,40
6303,Nagpur,Gondia,1346,2024-25,GNM,"G.K. NURSING SCHOOL KAWARABANDH, SALEKASA, GONDIA",40,40
6304,Nagpur,Gondia,1471,2024-25,GNM,"RAJARSHI SHAHU MAHARAJ COLLEGE OF NURSING, KOHMARA, SADAK ARJUNI, GONDIA",30,29
6305,Nagpur,Gondia,1493,2024-25,GNM,"C.S. NURSING COLLEGE (G.N.M.) DEORI, GONDIA",60,60
6306,Nagpur,Gondia,1531,2024-25,GNM,"SADGURU SCHOOL OF NURSING (G.N.M), ARJUNI MORGAON, GONDIA",40,40
6307,Nagpur,Gondia,1539,2024-25,GNM,"AROMIRA SCHOOL OF NURSING, KUDWA, GONDIA",40,28
6308,Nagpur,Gondia,1591,2024-25,GNM,"PRINCESS INSTITUTE OF NURSING COLLEGE, GOREGAON, GONDIA",40,40
6309,Nagpur,Gondia,552,2024-25,GNM,"S. CHANDRA SCHOOL OF NURSING, ARJUNI GONDIA",20,20
6310,Nagpur,Gondia,937,2024-25,GNM,"RADHABAI BAHEKAR SCHOOL OF NURSING, GONDIA.",50,50
6311,Chh. Sambhaji Nagar,Hingoli,1038,2024-25,GNM,"V.B.N. NURSING SCHOOL, HINGOLI",40,40
6312,Chh. Sambhaji Nagar,Hingoli,1185,2024-25,GNM,"INDIRA GANDHI NURSING COLLEGE GNM BASMAT, HINGOLI",60,59
6313,Chh. Sambhaji Nagar,Hingoli,1315,2024-25,GNM,"JIJAMATA INSTITUTE OF NURSING, HINGOLI",40,40
6314,Chh. Sambhaji Nagar,Hingoli,1379,2024-25,GNM,"SHARDA NURSING SCHOOL JAWALA BAZAR, AUNDHA, HINGOLI",40,40
6315,Chh. Sambhaji Nagar,Hingoli,1380,2024-25,GNM,"RISING NURSING SCHOOL, HINGOLI",40,40
6316,Chh. Sambhaji Nagar,Hingoli,1391,2024-25,GNM,"ADARSH ANM & GNM NURSING SCHOOL BASMAT, HINGOLI",40,40
6317,Chh. Sambhaji Nagar,Hingoli,1445,2024-25,GNM,"MOTHER TERESA NURSING SCHOOL (G.N.M.), HINGOLI",60,44
6318,Chh. Sambhaji Nagar,Hingoli,1491,2024-25,GNM,"DEVKRUPA NURSING COLLEGE, HINGOLI",40,40
6319,Chh. Sambhaji Nagar,Hingoli,755,2024-25,GNM,"YESHWANT INSTITUTE OF NURSING SCHOOL, HINGOLI",40,40
6320,Chh. Sambhaji Nagar,Hingoli,829,2024-25,GNM,"Ananditai Bengal Nursing School, Sengaon, Hingoli",60,60
6321,Nashik,Jalgaon,1128,2024-25,GNM,G.M Institute of Nursing Jamner,60,59
6322,Nashik,Jalgaon,1170,2024-25,GNM,"MEDILINE INSTITUTE OF NURSING,KUSUMBA,JALGAON",40,40
6323,Nashik,Jalgaon,1193,2024-25,GNM,"PRAKASHCHAND JAIN INSTITUTE OF NURSING, JAMNER, JALGAON",60,60
6324,Nashik,Jalgaon,1234,2024-25,GNM,"Dr. Ketki Patil School of Nursing, Jalgaon",40,40
6325,Nashik,Jalgaon,1372,2024-25,GNM,"DR. KHACHANE NURSING COLLEGE (G.N.M), YAWAL, JALGAON",60,60
6326,Nashik,Jalgaon,1443,2024-25,GNM,"DR. N.K.R. SHIROLE COLLEGE OF NURSING, ERANDOL, JALGAON",40,40
6327,Nashik,Jalgaon,1459,2024-25,GNM,"GLOBAL NURSING SCHOOL (G.N.M.), PACHORA, JALGAON",40,40
6328,Nashik,Jalgaon,1528,2024-25,GNM,"SHREE P.E. (TATYA) PATIL NURSING SCHOOL, JALGAON",60,54
6329,Nashik,Jalgaon,1544,2024-25,GNM,"PROF. N.S. KATEKAR INSTITUTE OF NURSING, PAROLA, JALGAON",40,40
6330,Nashik,Jalgaon,1568,2024-25,GNM,"DR. UTTAMRAO MAHAJAN INSTITUTE OF NURSING, CHALISGAON, JALGAON",60,0
6331,Nashik,Jalgaon,1615,2024-25,GNM,"NANASO NARHAR NAGRAJ PATIL NURSING COLLEGE PIMPALGAON (HARESHWAR),
PACHORA, JALGAON",40,24
6332,Nashik,Jalgaon,323,2024-25,GNM,"GODAVARI COLLEGE OF NURSING , JALGAON",100,100
6333,Nashik,Jalgaon,368,2024-25,GNM,"DADASAHEB DR. SURESH G. PATIL COLLEGE OF NURSING , CHOPDA , JALGAON",30,30
6334,Chh. Sambhaji Nagar,Jalna,1126,2024-25,GNM,"Chaitanya Nursing School Badnapur, Jalna",60,60
6335,Chh. Sambhaji Nagar,Jalna,1149,2024-25,GNM,A.M.D Institute Of Nursing Jalna,40,40
6336,Chh. Sambhaji Nagar,Jalna,1161,2024-25,GNM,"Om Shanti Nursing College Jomala Bhokardan, Jalna",60,60
6337,Chh. Sambhaji Nagar,Jalna,1189,2024-25,GNM,"JAY AMBE SCHOOL OF NURSING, AMBAD ROAD JALNA",40,40
6338,Chh. Sambhaji Nagar,Jalna,1342,2024-25,GNM,"V.S.S. SCHOOL OF NURSING, BADNAPUR, JALNA",60,45
6339,Chh. Sambhaji Nagar,Jalna,1348,2024-25,GNM,"DR. SUBHASHRAO DHAKNE COLLEGE OF NURSING (G.N.M) ROHANWADI, JALNA",40,40
6340,Chh. Sambhaji Nagar,Jalna,1408,2024-25,GNM,"SHANTINIKETAN COLLEGE OF NURSING, JALNA",40,40
6341,Chh. Sambhaji Nagar,Jalna,1457,2024-25,GNM,"FLORENCE NIGHTINGALE GNM NURSING COLLEGE, JALNA",50,17
6342,Chh. Sambhaji Nagar,Jalna,1462,2024-25,GNM,"FLORENCE G.N.M. NURSING INSTITUTE, PARTUR, JALNA",40,40
6343,Chh. Sambhaji Nagar,Jalna,1499,2024-25,GNM,"MOTHER HAWWA SCHOOL OF NURSING WARUDI, BADNAPUR, JALNA",40,27
6344,Chh. Sambhaji Nagar,Jalna,169,2024-25,GNM,"SHRI SAI INSTITUE OF NURSING, JALNA",60,49
6345,Chh. Sambhaji Nagar,Jalna,260,2024-25,GNM,"JALNA MISSION HOSPITAL, JALNA",20,12
6346,Chh. Sambhaji Nagar,Jalna,283,2024-25,GNM,"VASANTRAO NAIK SHIKSHAN PRASARAK MANDAL, JALNA",60,59
6347,Chh. Sambhaji Nagar,Jalna,988,2024-25,GNM,"Arjun School of Nursing, Jalna",60,60
6348,Chh. Sambhaji Nagar,Jalna,990,2024-25,GNM,JAI AMBE SCHOOL OF NURSING JALNA,30,30
6349,Pune,Kolhapur,1087,2024-25,GNM,"Dr. Deepak Patil Nursing Institution,Panhala,Kolhapur",50,50
6350,Pune,Kolhapur,1209,2024-25,GNM,"SIDDHAGIRI NURSING INSTITUTE, KARVIR, KOLHAPUR",40,40
6351,Pune,Kolhapur,1239,2024-25,GNM,"Sharad College of Nursing, Jaysingpur, Kolhapur",40,40
6352,Pune,Kolhapur,1242,2024-25,GNM,"Genesis Institute of Nursing, Tal. Radhanagari, Dist. Kolhapur",40,38
6353,Pune,Kolhapur,1263,2024-25,GNM,"SHRI. SIDDHI COLLEGE OF NURSING A/P UTTUR, TAL. AJARA, DIST. KOLHAPUR",40,40
6354,Pune,Kolhapur,1264,2024-25,GNM,"SEVASADAN SCHOOL OF NURSING, CARE OF SEVASADAN GADHINGLAJ, DIST. KOLHAPUR",40,40
6355,Pune,Kolhapur,1269,2024-25,GNM,"SAI INSTITUTE OF NURSING, TAL. GADHINGLAJ, DIST. KOLHAPUR",50,50
6356,Pune,Kolhapur,1300,2024-25,GNM,"ANISH COLLEGE OF NURSING, SHIROL, KOLHAPUR",40,34
6357,Pune,Kolhapur,1322,2024-25,GNM,"SWARAJYA NURSING COLLEGE, GADHINGLAJ, KOLHAPUR",60,60
6358,Pune,Kolhapur,1339,2024-25,GNM,"PIOS COLLEGE OF NURSING UDGAON, SHIROL, KOLHAPUR",60,60
6359,Pune,Kolhapur,1382,2024-25,GNM,"ANANDI G.N.M. COLLEGE TARF KALE, KARVEER, KOLHAPUR",40,40
6360,Pune,Kolhapur,1393,2024-25,GNM,"DR. M. I. MOMIN INSTITUTE OF NURSING EDUCATION, KOLHAPUR",30,24
6361,Pune,Kolhapur,1398,2024-25,GNM,"PARVATIDEVI KUMBHAR SCHOOL OF NURSING, KOLHAPUR",40,40
6362,Pune,Kolhapur,1405,2024-25,GNM,"VITTHAL PATIL COLLEGE OF NURSING KALE, PANHALA, KOLHAPUR",60,60
6363,Pune,Kolhapur,1436,2024-25,GNM,"ASHOKRAO MANE SCHOOL OF NURSING, VATHAR TARF VADGAON, HATKANNAGALE,
KOLHAPUR",60,25
6364,Pune,Kolhapur,1441,2024-25,GNM,"SIDDHI COLLEGE OF NURSING, MURGUD, KAGAL, KOLHAPUR",40,40
6365,Pune,Kolhapur,1529,2024-25,GNM,"DR. DNYANESHWAR MULE NURSING COLLEGE, SHIROL, KOLHAPUR",60,46
6366,Pune,Kolhapur,1564,2024-25,GNM,"DR. J.J. MAGDUM COLLEGE OF NURSING, JAYSINGPUR, SHIROL, KOLHAPUR",50,23
6367,Pune,Kolhapur,1572,2024-25,GNM,"MUKTAI COLLEGE OF NURSING, TITAVE, RADHANAGARI, KOLHAPUR",50,48
6368,Pune,Kolhapur,1577,2024-25,GNM,"DR. DNYANESHWAR MULE G.N.M. NURSING COLLEGE, KOLHAPUR",40,0
6369,Pune,Kolhapur,1588,2024-25,GNM,"MATOSHRI VATSALA MANE INSTITUTE OF NURSING, PETH VADGAON, HATKANANGALE,
KOLHAPUR",100,0
6370,Pune,Kolhapur,1618,2024-25,GNM,"MOTHER TERESA MEMORIAL COLLEGE OF NURSING, GADHINGLAJ, KOLHAPUR",40,0
6371,Pune,Kolhapur,225,2024-25,GNM,"DR. D.Y.PATIL INSTITUTE OF NURSING EDUCATION , KOLHAPUR",30,30
6372,Pune,Kolhapur,287,2024-25,GNM,"KURUNDWAD INST. OF NURSING EDUCATION,SHIROL, KOLHAPUR",20,20
6373,Pune,Kolhapur,428,2024-25,GNM,"SHRI BHAIRAVNATH NURSING SCHOOL , ICHALKARANJI , KOLHAPUR",40,40
6374,Pune,Kolhapur,481,2024-25,GNM,"SAVITRIBAI PHULE COLLEGE OF NURSING, KOLHAPUR",60,60
6375,Pune,Kolhapur,53,2024-25,GNM,"DR. J. J. MAGDUM SON, SHIROL, KOLHAPUR",40,40
6376,Pune,Kolhapur,582,2024-25,GNM,"SANT GAJANAN MAHARAJ SCHOOL OF NURSING, CHINCHEWADI, GADHINGLAJ, KOLHAPUR",40,40
6377,Pune,Kolhapur,606,2024-25,GNM,"LATE SOU ROSHANBI SHAMANJI NURSING SCHOOL, GADHINGLAJ, KOLHAPUR",60,47
6378,Pune,Kolhapur,74,2024-25,GNM,"KEDARI REDEKAR NURSING SCHOOL, GADHINGLAJ, KOLHAPUR",50,50
6379,Pune,Kolhapur,888,2024-25,GNM,"YASHWANT NURSING INSTITUTE, KODOLI PANHALA KOLHAPUR",60,60
6380,Pune,Kolhapur,89,2024-25,GNM,"Y.D. MANE SCHOOL OF NURSING, KAGAL, KOLHAPUR",40,38
6381,Pune,Kolhapur,906,2024-25,GNM,"APEX NURSING SCHOOL KARVIR, KOLHAPUR",20,20
6382,Chh. Sambhaji Nagar,Latur,1111,2024-25,GNM,"DAGDOJIRAO PATIL NURSING SCHOOL, JALKOT, LATUR",40,40
6383,Chh. Sambhaji Nagar,Latur,1114,2024-25,GNM,"KSPM's Jijamata Nursing School, Latur",100,71
6384,Chh. Sambhaji Nagar,Latur,1122,2024-25,GNM,"Kohinoor RGNM Nursing School,Latur",50,50
6385,Chh. Sambhaji Nagar,Latur,1123,2024-25,GNM,Swami Vivekanand Institute of Nursing Latur,40,40
6386,Chh. Sambhaji Nagar,Latur,1156,2024-25,GNM,"Sahyadri Institute Of Nursing Education, Latur",60,50
6387,Chh. Sambhaji Nagar,Latur,1187,2024-25,GNM,"DSPM SCHOOL OF NURSING, BABHALGAON LATUR",60,60
6388,Chh. Sambhaji Nagar,Latur,1216,2024-25,GNM,"Shifa Institute of Nursing College Ausa,Latur",40,40
6389,Chh. Sambhaji Nagar,Latur,1278,2024-25,GNM,"YASHODA NURSING SCHOOL, UDGIR, LATUR",40,40
6390,Chh. Sambhaji Nagar,Latur,1291,2024-25,GNM,"P P COLLEGE OF NURSING, LATUR",60,60
6391,Chh. Sambhaji Nagar,Latur,1299,2024-25,GNM,"RENAISSANCE SCHOOL OF NURSING, DIST. LATUR",50,50
6392,Chh. Sambhaji Nagar,Latur,1302,2024-25,GNM,"SMT. KALPANATAI PATIL NURSING COLLEGE, DEONI, UDGIR, LATUR",40,40
6393,Chh. Sambhaji Nagar,Latur,1305,2024-25,GNM,"S.V.S.S. LATUR COLLEGE OF NURSING, LATUR",60,60
6394,Chh. Sambhaji Nagar,Latur,1318,2024-25,GNM,"TANVI SCHOOL OF NURSING, CHAKUR, LATUR",60,60
6395,Chh. Sambhaji Nagar,Latur,1326,2024-25,GNM,"SUSHILADEVI NURSING COLLEGE, LATUR",40,40
6396,Chh. Sambhaji Nagar,Latur,1328,2024-25,GNM,"SAMBHAJI G.N.M. NURSING SCHOOL CHAPOLI, CHAKUR, LATUR",40,40
6397,Chh. Sambhaji Nagar,Latur,1330,2024-25,GNM,"S.G. SCHOOL OF NURSING, AHMEDPUR, LATUR",40,40
6398,Chh. Sambhaji Nagar,Latur,1331,2024-25,GNM,"PRAYAG KARAD COLLEGE OF NURSING, NANDGAON, TAL/DIST. LATUR",60,60
6399,Chh. Sambhaji Nagar,Latur,1332,2024-25,GNM,"VIJAY NURSING SCHOOL G.N.M, LATUR",60,60
6400,Chh. Sambhaji Nagar,Latur,1333,2024-25,GNM,"INDIRA GANDHI NURSING SCHOOL G.N.M, LATUR",50,50
6401,Chh. Sambhaji Nagar,Latur,1343,2024-25,GNM,"SPARSH INSTITUTE OF NURSING COLLEGE, LATUR",40,40
6402,Chh. Sambhaji Nagar,Latur,1350,2024-25,GNM,"GLOBAL INSTITUTE OF NURSING BORI, LATUR",50,45
6403,Chh. Sambhaji Nagar,Latur,1356,2024-25,GNM,"MATA GIRIJA NURSING SCHOOL HALADWADHAVANA, JALKOT, LATUR",40,40
6404,Chh. Sambhaji Nagar,Latur,1363,2024-25,GNM,"MANDAKINI NURSING INSTITUTE, LATUR",50,48
6405,Chh. Sambhaji Nagar,Latur,1385,2024-25,GNM,"KOHINOOR INSTITUTE OF NURSING, VASANGAON, LATUR",60,60
6406,Chh. Sambhaji Nagar,Latur,1409,2024-25,GNM,"SHANTISHANKAR NURSING COLLEGE, AHMEDPUR, LATUR",60,60
6407,Chh. Sambhaji Nagar,Latur,1420,2024-25,GNM,"SANT TUKARAM NURSING G.N.M. COLLEGE, AHMEDPUR, LATUR",60,60
6408,Chh. Sambhaji Nagar,Latur,1424,2024-25,GNM,"RAIRESHWARI NURSING COLLEGE, LATUR",40,0
6409,Chh. Sambhaji Nagar,Latur,1453,2024-25,GNM,"SHRI. SANT GAHININATH MAHARAJ NURSING INSTITUTE KINGAON, AHMEDPUR, LATUR",40,40
6410,Chh. Sambhaji Nagar,Latur,1454,2024-25,GNM,"SWAMI VIVEKANAND NURSING INSTITUTE AHMEDPUR, LATUR",40,40
